,game,posteam,yards,stadium
0,2010_01_ARI_STL,ARI,2188,STL00
1,2010_01_ARI_STL,LA,3050,STL00
2,2010_01_ATL_PIT,PIT,1707,PIT00
3,2010_01_ATL_PIT,ATL,2650,PIT00
4,2010_01_BAL_NYJ,NYJ,1491,NYC01
5,2010_01_BAL_NYJ,BAL,2198,NYC01
6,2010_01_CAR_NYG,CAR,2238,NYC01
7,2010_01_CAR_NYG,NYG,1651,NYC01
8,2010_01_CIN_NE,CIN,2681,BOS00
9,2010_01_CIN_NE,NE,1983,BOS00
10,2010_01_CLE_TB,TB,1907,TAM00
11,2010_01_CLE_TB,CLE,1992,TAM00
12,2010_01_DAL_WAS,DAL,2328,WAS00
13,2010_01_DAL_WAS,WAS,1750,WAS00
14,2010_01_DEN_JAX,DEN,1949,JAX00
15,2010_01_DEN_JAX,JAX,1371,JAX00
16,2010_01_DET_CHI,CHI,2213,CHI98
17,2010_01_DET_CHI,DET,1923,CHI98
18,2010_01_GB_PHI,GB,1900,PHI00
19,2010_01_GB_PHI,PHI,2229,PHI00
20,2010_01_IND_HOU,IND,3203,HOU00
21,2010_01_IND_HOU,HOU,1288,HOU00
22,2010_01_MIA_BUF,BUF,2188,BUF00
23,2010_01_MIA_BUF,MIA,2071,BUF00
24,2010_01_MIN_NO,NO,2021,NOR00
25,2010_01_MIN_NO,MIN,1638,NOR00
26,2010_01_OAK_TEN,LV,2530,NAS00
27,2010_01_OAK_TEN,TEN,1345,NAS00
28,2010_01_SD_KC,KC,1448,KAN00
29,2010_01_SD_KC,LAC,2290,KAN00
30,2010_01_SF_SEA,SEA,1478,SEA00
31,2010_01_SF_SEA,SF,2653,SEA00
32,2010_02_ARI_ATL,ATL,1486,ATL00
33,2010_02_ARI_ATL,ARI,2208,ATL00
34,2010_02_BAL_CIN,CIN,2055,CIN00
35,2010_02_BAL_CIN,BAL,2239,CIN00
36,2010_02_BUF_GB,GB,1429,GNB00
37,2010_02_BUF_GB,BUF,1530,GNB00
38,2010_02_CHI_DAL,CHI,1862,DAL00
39,2010_02_CHI_DAL,DAL,2723,DAL00
40,2010_02_HOU_WAS,WAS,2360,WAS00
41,2010_02_HOU_WAS,HOU,3262,WAS00
42,2010_02_JAX_SD,LAC,1552,SDG00
43,2010_02_JAX_SD,JAX,2426,SDG00
44,2010_02_KC_CLE,CLE,2082,CLE00
45,2010_02_KC_CLE,KC,1703,CLE00
46,2010_02_MIA_MIN,MIN,1832,MIN00
47,2010_02_MIA_MIN,MIA,1201,MIN00
48,2010_02_NE_NYJ,NE,2235,NYC01
49,2010_02_NE_NYJ,NYJ,1806,NYC01
50,2010_02_NO_SF,SF,1877,SFO00
51,2010_02_NO_SF,NO,2305,SFO00
52,2010_02_NYG_IND,IND,1481,IND00
53,2010_02_NYG_IND,NYG,1724,IND00
54,2010_02_PHI_DET,DET,2582,DET00
55,2010_02_PHI_DET,PHI,2335,DET00
56,2010_02_PIT_TEN,PIT,1525,NAS00
57,2010_02_PIT_TEN,TEN,2212,NAS00
58,2010_02_SEA_DEN,SEA,1844,DEN00
59,2010_02_SEA_DEN,DEN,1810,DEN00
60,2010_02_STL_OAK,LA,1761,OAK00
61,2010_02_STL_OAK,LV,2137,OAK00
62,2010_02_TB_CAR,TB,1403,CAR00
63,2010_02_TB_CAR,CAR,1955,CAR00
64,2010_03_ATL_NO,ATL,1811,NOR00
65,2010_03_ATL_NO,NO,2130,NOR00
66,2010_03_BUF_NE,BUF,1750,BOS00
67,2010_03_BUF_NE,NE,1773,BOS00
68,2010_03_CIN_CAR,CIN,2013,CAR00
69,2010_03_CIN_CAR,CAR,1816,CAR00
70,2010_03_CLE_BAL,BAL,1843,BAL00
71,2010_03_CLE_BAL,CLE,1656,BAL00
72,2010_03_DAL_HOU,DAL,1570,HOU00
73,2010_03_DAL_HOU,HOU,1868,HOU00
74,2010_03_DET_MIN,DET,2365,MIN00
75,2010_03_DET_MIN,MIN,1871,MIN00
76,2010_03_GB_CHI,CHI,1667,CHI98
77,2010_03_GB_CHI,GB,2434,CHI98
78,2010_03_IND_DEN,IND,2390,DEN00
79,2010_03_IND_DEN,DEN,2850,DEN00
80,2010_03_NYJ_MIA,NYJ,1754,MIA00
81,2010_03_NYJ_MIA,MIA,2464,MIA00
82,2010_03_OAK_ARI,ARI,1818,PHO00
83,2010_03_OAK_ARI,LV,2546,PHO00
84,2010_03_PHI_JAX,PHI,1808,JAX00
85,2010_03_PHI_JAX,JAX,2387,JAX00
86,2010_03_PIT_TB,PIT,1004,TAM00
87,2010_03_PIT_TB,TB,2428,TAM00
88,2010_03_SD_SEA,LAC,3122,SEA00
89,2010_03_SD_SEA,SEA,1998,SEA00
90,2010_03_SF_KC,KC,1586,KAN00
91,2010_03_SF_KC,SF,2552,KAN00
92,2010_03_TEN_NYG,NYG,2499,NYC01
93,2010_03_TEN_NYG,TEN,1260,NYC01
94,2010_03_WAS_STL,LA,1936,STL00
95,2010_03_WAS_STL,WAS,1999,STL00
96,2010_04_ARI_SD,ARI,2227,SDG00
97,2010_04_ARI_SD,LAC,1124,SDG00
98,2010_04_BAL_PIT,PIT,1403,PIT00
99,2010_04_BAL_PIT,BAL,1896,PIT00
100,2010_04_CAR_NO,CAR,1489,NOR00
101,2010_04_CAR_NO,NO,2556,NOR00
102,2010_04_CHI_NYG,CHI,2088,NYC01
103,2010_04_CHI_NYG,NYG,1894,NYC01
104,2010_04_CIN_CLE,CIN,2202,CLE00
105,2010_04_CIN_CLE,CLE,1923,CLE00
106,2010_04_DEN_TEN,TEN,2102,NAS00
107,2010_04_DEN_TEN,DEN,2935,NAS00
108,2010_04_DET_GB,GB,1380,GNB00
109,2010_04_DET_GB,DET,2891,GNB00
110,2010_04_HOU_OAK,LV,2433,OAK00
111,2010_04_HOU_OAK,HOU,1608,OAK00
112,2010_04_IND_JAX,IND,2293,JAX00
113,2010_04_IND_JAX,JAX,1325,JAX00
114,2010_04_NE_MIA,MIA,2325,MIA00
115,2010_04_NE_MIA,NE,1526,MIA00
116,2010_04_NYJ_BUF,NYJ,1499,BUF00
117,2010_04_NYJ_BUF,BUF,1998,BUF00
118,2010_04_SEA_STL,LA,2133,STL00
119,2010_04_SEA_STL,SEA,2130,STL00
120,2010_04_SF_ATL,ATL,2236,ATL00
121,2010_04_SF_ATL,SF,1759,ATL00
122,2010_04_WAS_PHI,PHI,2373,PHI00
123,2010_04_WAS_PHI,WAS,1328,PHI00
124,2010_05_ATL_CLE,CLE,2105,CLE00
125,2010_05_ATL_CLE,ATL,1651,CLE00
126,2010_05_CHI_CAR,CHI,1437,CAR00
127,2010_05_CHI_CAR,CAR,2406,CAR00
128,2010_05_DEN_BAL,BAL,1483,BAL00
129,2010_05_DEN_BAL,DEN,2237,BAL00
130,2010_05_GB_WAS,GB,2818,WAS00
131,2010_05_GB_WAS,WAS,3020,WAS00
132,2010_05_JAX_BUF,BUF,2173,BUF00
133,2010_05_JAX_BUF,JAX,1408,BUF00
134,2010_05_KC_IND,IND,2350,IND00
135,2010_05_KC_IND,KC,2030,IND00
136,2010_05_MIN_NYJ,MIN,2603,NYC01
137,2010_05_MIN_NYJ,NYJ,2682,NYC01
138,2010_05_NO_ARI,ARI,1894,PHO00
139,2010_05_NO_ARI,NO,2336,PHO00
140,2010_05_NYG_HOU,HOU,2418,HOU00
141,2010_05_NYG_HOU,NYG,2184,HOU00
142,2010_05_PHI_SF,SF,2325,SFO00
143,2010_05_PHI_SF,PHI,2017,SFO00
144,2010_05_SD_OAK,LAC,2454,OAK00
145,2010_05_SD_OAK,LV,1898,OAK00
146,2010_05_STL_DET,DET,1858,DET00
147,2010_05_STL_DET,LA,2590,DET00
148,2010_05_TB_CIN,CIN,2242,CIN00
149,2010_05_TB_CIN,TB,2069,CIN00
150,2010_05_TEN_DAL,TEN,1887,DAL00
151,2010_05_TEN_DAL,DAL,2653,DAL00
152,2010_06_ATL_PHI,ATL,2361,PHI00
153,2010_06_ATL_PHI,PHI,1751,PHI00
154,2010_06_BAL_NE,BAL,2389,BOS00
155,2010_06_BAL_NE,NE,2540,BOS00
156,2010_06_CLE_PIT,CLE,2093,PIT00
157,2010_06_CLE_PIT,PIT,1570,PIT00
158,2010_06_DAL_MIN,DAL,1770,MIN00
159,2010_06_DAL_MIN,MIN,1435,MIN00
160,2010_06_DET_NYG,NYG,1824,NYC01
161,2010_06_DET_NYG,DET,2736,NYC01
162,2010_06_IND_WAS,IND,2186,WAS00
163,2010_06_IND_WAS,WAS,2797,WAS00
164,2010_06_KC_HOU,KC,1743,HOU00
165,2010_06_KC_HOU,HOU,1889,HOU00
166,2010_06_MIA_GB,GB,2220,GNB00
167,2010_06_MIA_GB,MIA,2167,GNB00
168,2010_06_NO_TB,TB,2569,TAM00
169,2010_06_NO_TB,NO,1388,TAM00
170,2010_06_NYJ_DEN,NYJ,1840,DEN00
171,2010_06_NYJ_DEN,DEN,2059,DEN00
172,2010_06_OAK_SF,LV,1592,SFO00
173,2010_06_OAK_SF,SF,1891,SFO00
174,2010_06_SD_STL,LAC,2380,STL00
175,2010_06_SD_STL,LA,2100,STL00
176,2010_06_SEA_CHI,CHI,2675,CHI98
177,2010_06_SEA_CHI,SEA,2436,CHI98
178,2010_06_TEN_JAX,TEN,1214,JAX00
179,2010_06_TEN_JAX,JAX,2116,JAX00
180,2010_07_ARI_SEA,SEA,2427,SEA00
181,2010_07_ARI_SEA,ARI,2041,SEA00
182,2010_07_BUF_BAL,BAL,2235,BAL00
183,2010_07_BUF_BAL,BUF,2344,BAL00
184,2010_07_CIN_ATL,ATL,2091,ATL00
185,2010_07_CIN_ATL,CIN,2840,ATL00
186,2010_07_CLE_NO,NO,3006,NOR00
187,2010_07_CLE_NO,CLE,1329,NOR00
188,2010_07_JAX_KC,JAX,2081,KAN00
189,2010_07_JAX_KC,KC,1177,KAN00
190,2010_07_MIN_GB,MIN,1663,GNB00
191,2010_07_MIN_GB,GB,1771,GNB00
192,2010_07_NE_SD,LAC,2665,SDG00
193,2010_07_NE_SD,NE,1953,SDG00
194,2010_07_NYG_DAL,NYG,2191,DAL00
195,2010_07_NYG_DAL,DAL,2562,DAL00
196,2010_07_OAK_DEN,LV,1142,DEN00
197,2010_07_OAK_DEN,DEN,2077,DEN00
198,2010_07_PHI_TEN,TEN,2048,NAS00
199,2010_07_PHI_TEN,PHI,2606,NAS00
200,2010_07_PIT_MIA,PIT,1894,MIA00
201,2010_07_PIT_MIA,MIA,2251,MIA00
202,2010_07_SF_CAR,CAR,2175,CAR00
203,2010_07_SF_CAR,SF,2155,CAR00
204,2010_07_STL_TB,TB,2477,TAM00
205,2010_07_STL_TB,LA,1674,TAM00
206,2010_07_WAS_CHI,WAS,1998,CHI98
207,2010_07_WAS_CHI,CHI,2366,CHI98
208,2010_08_BUF_KC,KC,1635,KAN00
209,2010_08_BUF_KC,BUF,2665,KAN00
210,2010_08_CAR_STL,LA,1892,STL00
211,2010_08_CAR_STL,CAR,2334,STL00
212,2010_08_DEN_SF,DEN,2378,LON00
213,2010_08_DEN_SF,SF,1312,LON00
214,2010_08_GB_NYJ,GB,2040,NYC01
215,2010_08_GB_NYJ,NYJ,2303,NYC01
216,2010_08_HOU_IND,HOU,2407,IND00
217,2010_08_HOU_IND,IND,2414,IND00
218,2010_08_JAX_DAL,DAL,2683,DAL00
219,2010_08_JAX_DAL,JAX,1452,DAL00
220,2010_08_MIA_CIN,CIN,2276,CIN00
221,2010_08_MIA_CIN,MIA,2138,CIN00
222,2010_08_MIN_NE,NE,1602,BOS00
223,2010_08_MIN_NE,MIN,1875,BOS00
224,2010_08_PIT_NO,PIT,1882,NOR00
225,2010_08_PIT_NO,NO,2280,NOR00
226,2010_08_SEA_OAK,LV,1806,OAK00
227,2010_08_SEA_OAK,SEA,2722,OAK00
228,2010_08_TB_ARI,ARI,2278,PHO00
229,2010_08_TB_ARI,TB,1810,PHO00
230,2010_08_TEN_SD,LAC,2062,SDG00
231,2010_08_TEN_SD,TEN,2446,SDG00
232,2010_08_WAS_DET,WAS,2832,DET00
233,2010_08_WAS_DET,DET,2597,DET00
234,2010_09_ARI_MIN,ARI,2156,MIN00
235,2010_09_ARI_MIN,MIN,2461,MIN00
236,2010_09_CHI_BUF,CHI,1847,BUF01
237,2010_09_CHI_BUF,BUF,2300,BUF01
238,2010_09_DAL_GB,DAL,2192,GNB00
239,2010_09_DAL_GB,GB,1615,GNB00
240,2010_09_IND_PHI,PHI,1933,PHI00
241,2010_09_IND_PHI,IND,2882,PHI00
242,2010_09_KC_OAK,KC,2345,OAK00
243,2010_09_KC_OAK,LV,2433,OAK00
244,2010_09_MIA_BAL,BAL,1685,BAL00
245,2010_09_MIA_BAL,MIA,2161,BAL00
246,2010_09_NE_CLE,CLE,1117,CLE00
247,2010_09_NE_CLE,NE,2080,CLE00
248,2010_09_NO_CAR,NO,2274,CAR00
249,2010_09_NO_CAR,CAR,2385,CAR00
250,2010_09_NYG_SEA,SEA,1673,SEA00
251,2010_09_NYG_SEA,NYG,1558,SEA00
252,2010_09_NYJ_DET,DET,2256,DET00
253,2010_09_NYJ_DET,NYJ,2307,DET00
254,2010_09_PIT_CIN,CIN,2318,CIN00
255,2010_09_PIT_CIN,PIT,1729,CIN00
256,2010_09_SD_HOU,LAC,1485,HOU00
257,2010_09_SD_HOU,HOU,1850,HOU00
258,2010_09_TB_ATL,ATL,1853,ATL00
259,2010_09_TB_ATL,TB,1452,ATL00
260,2010_10_BAL_ATL,ATL,2547,ATL00
261,2010_10_BAL_ATL,BAL,1996,ATL00
262,2010_10_CAR_TB,CAR,1933,TAM00
263,2010_10_CAR_TB,TB,1506,TAM00
264,2010_10_CIN_IND,IND,2151,IND00
265,2010_10_CIN_IND,CIN,2426,IND00
266,2010_10_DAL_NYG,NYG,2618,NYC01
267,2010_10_DAL_NYG,DAL,1491,NYC01
268,2010_10_DET_BUF,DET,2784,BUF00
269,2010_10_DET_BUF,BUF,1519,BUF00
270,2010_10_HOU_JAX,JAX,1784,JAX00
271,2010_10_HOU_JAX,HOU,1686,JAX00
272,2010_10_KC_DEN,DEN,1595,DEN00
273,2010_10_KC_DEN,KC,3063,DEN00
274,2010_10_MIN_CHI,CHI,2017,CHI98
275,2010_10_MIN_CHI,MIN,2014,CHI98
276,2010_10_NE_PIT,PIT,3006,PIT00
277,2010_10_NE_PIT,NE,2251,PIT00
278,2010_10_NYJ_CLE,CLE,2122,CLE00
279,2010_10_NYJ_CLE,NYJ,2328,CLE00
280,2010_10_PHI_WAS,PHI,1647,WAS00
281,2010_10_PHI_WAS,WAS,2278,WAS00
282,2010_10_SEA_ARI,ARI,2785,PHO00
283,2010_10_SEA_ARI,SEA,2140,PHO00
284,2010_10_STL_SF,LA,2685,SFO00
285,2010_10_STL_SF,SF,2064,SFO00
286,2010_10_TEN_MIA,TEN,2359,MIA00
287,2010_10_TEN_MIA,MIA,2152,MIA00
288,2010_11_ARI_KC,ARI,2758,KAN00
289,2010_11_ARI_KC,KC,1316,KAN00
290,2010_11_ATL_STL,LA,2389,STL00
291,2010_11_ATL_STL,ATL,2219,STL00
292,2010_11_BAL_CAR,CAR,2139,CAR00
293,2010_11_BAL_CAR,BAL,2086,CAR00
294,2010_11_BUF_CIN,CIN,2221,CIN00
295,2010_11_BUF_CIN,BUF,1786,CIN00
296,2010_11_CHI_MIA,MIA,1936,MIA00
297,2010_11_CHI_MIA,CHI,1432,MIA00
298,2010_11_CLE_JAX,CLE,1976,JAX00
299,2010_11_CLE_JAX,JAX,2258,JAX00
300,2010_11_DEN_SD,DEN,2584,SDG00
301,2010_11_DEN_SD,LAC,1535,SDG00
302,2010_11_DET_DAL,DET,2633,DAL00
303,2010_11_DET_DAL,DAL,1504,DAL00
304,2010_11_GB_MIN,MIN,2339,MIN00
305,2010_11_GB_MIN,GB,1808,MIN00
306,2010_11_HOU_NYJ,HOU,2100,NYC01
307,2010_11_HOU_NYJ,NYJ,2403,NYC01
308,2010_11_IND_NE,IND,2451,BOS00
309,2010_11_IND_NE,NE,1539,BOS00
310,2010_11_NYG_PHI,NYG,1923,PHI00
311,2010_11_NYG_PHI,PHI,2348,PHI00
312,2010_11_OAK_PIT,PIT,1763,PIT00
313,2010_11_OAK_PIT,LV,2728,PIT00
314,2010_11_SEA_NO,SEA,2374,NOR00
315,2010_11_SEA_NO,NO,2052,NOR00
316,2010_11_TB_SF,TB,1280,SFO00
317,2010_11_TB_SF,SF,1946,SFO00
318,2010_11_WAS_TEN,WAS,2935,NAS00
319,2010_11_WAS_TEN,TEN,1748,NAS00
320,2010_12_CAR_CLE,CAR,1987,CLE00
321,2010_12_CAR_CLE,CLE,1985,CLE00
322,2010_12_CIN_NYJ,CIN,2325,NYC01
323,2010_12_CIN_NYJ,NYJ,1958,NYC01
324,2010_12_GB_ATL,ATL,1707,ATL00
325,2010_12_GB_ATL,GB,1972,ATL00
326,2010_12_JAX_NYG,NYG,1486,NYC01
327,2010_12_JAX_NYG,JAX,2309,NYC01
328,2010_12_KC_SEA,KC,1753,SEA00
329,2010_12_KC_SEA,SEA,2287,SEA00
330,2010_12_MIA_OAK,LV,2153,OAK00
331,2010_12_MIA_OAK,MIA,1819,OAK00
332,2010_12_MIN_WAS,WAS,2179,WAS00
333,2010_12_MIN_WAS,MIN,1573,WAS00
334,2010_12_NE_DET,DET,2765,DET00
335,2010_12_NE_DET,NE,1559,DET00
336,2010_12_NO_DAL,NO,2210,DAL00
337,2010_12_NO_DAL,DAL,2233,DAL00
338,2010_12_PHI_CHI,PHI,2511,CHI98
339,2010_12_PHI_CHI,CHI,1693,CHI98
340,2010_12_PIT_BUF,PIT,2183,BUF00
341,2010_12_PIT_BUF,BUF,2807,BUF00
342,2010_12_SD_IND,IND,2879,IND00
343,2010_12_SD_IND,LAC,1426,IND00
344,2010_12_SF_ARI,SF,1294,PHO00
345,2010_12_SF_ARI,ARI,2233,PHO00
346,2010_12_STL_DEN,DEN,2574,DEN00
347,2010_12_STL_DEN,LA,2175,DEN00
348,2010_12_TB_BAL,TB,2152,BAL00
349,2010_12_TB_BAL,BAL,2138,BAL00
350,2010_12_TEN_HOU,HOU,1842,HOU00
351,2010_12_TEN_HOU,TEN,1980,HOU00
352,2010_13_ATL_TB,ATL,2115,TAM00
353,2010_13_ATL_TB,TB,2260,TAM00
354,2010_13_BUF_MIN,MIN,1242,MIN00
355,2010_13_BUF_MIN,BUF,1622,MIN00
356,2010_13_CAR_SEA,CAR,2103,SEA00
357,2010_13_CAR_SEA,SEA,1765,SEA00
358,2010_13_CHI_DET,DET,1605,DET00
359,2010_13_CHI_DET,CHI,1660,DET00
360,2010_13_CLE_MIA,MIA,1972,MIA00
361,2010_13_CLE_MIA,CLE,2214,MIA00
362,2010_13_DAL_IND,DAL,1878,IND00
363,2010_13_DAL_IND,IND,2518,IND00
364,2010_13_DEN_KC,DEN,1956,KAN00
365,2010_13_DEN_KC,KC,1884,KAN00
366,2010_13_HOU_PHI,PHI,1778,PHI00
367,2010_13_HOU_PHI,HOU,1885,PHI00
368,2010_13_JAX_TEN,TEN,1746,NAS00
369,2010_13_JAX_TEN,JAX,1132,NAS00
370,2010_13_NO_CIN,CIN,2227,CIN00
371,2010_13_NO_CIN,NO,1977,CIN00
372,2010_13_NYJ_NE,NE,1666,BOS00
373,2010_13_NYJ_NE,NYJ,2007,BOS00
374,2010_13_OAK_SD,LAC,2325,SDG00
375,2010_13_OAK_SD,LV,957,SDG00
376,2010_13_PIT_BAL,BAL,1976,BAL00
377,2010_13_PIT_BAL,PIT,2016,BAL00
378,2010_13_SF_GB,SF,1910,GNB00
379,2010_13_SF_GB,GB,1801,GNB00
380,2010_13_STL_ARI,ARI,2112,PHO00
381,2010_13_STL_ARI,LA,1788,PHO00
382,2010_13_WAS_NYG,NYG,1460,NYC01
383,2010_13_WAS_NYG,WAS,2568,NYC01
384,2010_14_ATL_CAR,CAR,1983,CAR00
385,2010_14_ATL_CAR,ATL,2146,CAR00
386,2010_14_BAL_HOU,HOU,3147,HOU00
387,2010_14_BAL_HOU,BAL,2327,HOU00
388,2010_14_CIN_PIT,CIN,2008,PIT00
389,2010_14_CIN_PIT,PIT,1901,PIT00
390,2010_14_CLE_BUF,CLE,1356,BUF00
391,2010_14_CLE_BUF,BUF,1453,BUF00
392,2010_14_DEN_ARI,DEN,2782,PHO00
393,2010_14_DEN_ARI,ARI,2233,PHO00
394,2010_14_GB_DET,DET,1596,DET00
395,2010_14_GB_DET,GB,2242,DET00
396,2010_14_IND_TEN,IND,1881,NAS00
397,2010_14_IND_TEN,TEN,2167,NAS00
398,2010_14_KC_SD,KC,1692,SDG00
399,2010_14_KC_SD,LAC,1262,SDG00
400,2010_14_MIA_NYJ,NYJ,2479,NYC01
401,2010_14_MIA_NYJ,MIA,1792,NYC01
402,2010_14_NE_CHI,NE,2136,CHI98
403,2010_14_NE_CHI,CHI,1786,CHI98
404,2010_14_NYG_MIN,MIN,2242,DET00
405,2010_14_NYG_MIN,NYG,1953,DET00
406,2010_14_OAK_JAX,LV,2165,JAX00
407,2010_14_OAK_JAX,JAX,1638,JAX00
408,2010_14_PHI_DAL,PHI,1897,DAL00
409,2010_14_PHI_DAL,DAL,2110,DAL00
410,2010_14_SEA_SF,SF,1845,SFO00
411,2010_14_SEA_SF,SEA,2423,SFO00
412,2010_14_STL_NO,NO,1824,NOR00
413,2010_14_STL_NO,LA,2148,NOR00
414,2010_14_TB_WAS,TB,1589,WAS00
415,2010_14_TB_WAS,WAS,2053,WAS00
416,2010_15_ARI_CAR,ARI,2261,CAR00
417,2010_15_ARI_CAR,CAR,1238,CAR00
418,2010_15_ATL_SEA,SEA,2098,SEA00
419,2010_15_ATL_SEA,ATL,1939,SEA00
420,2010_15_BUF_MIA,MIA,2410,MIA00
421,2010_15_BUF_MIA,BUF,1524,MIA00
422,2010_15_CHI_MIN,MIN,2243,MIN98
423,2010_15_CHI_MIN,CHI,1439,MIN98
424,2010_15_CLE_CIN,CLE,1676,CIN00
425,2010_15_CLE_CIN,CIN,1410,CIN00
426,2010_15_DEN_OAK,DEN,1680,OAK00
427,2010_15_DEN_OAK,LV,1906,OAK00
428,2010_15_DET_TB,TB,1799,TAM00
429,2010_15_DET_TB,DET,2213,TAM00
430,2010_15_GB_NE,NE,1737,BOS00
431,2010_15_GB_NE,GB,2294,BOS00
432,2010_15_HOU_TEN,TEN,1480,NAS00
433,2010_15_HOU_TEN,HOU,2854,NAS00
434,2010_15_JAX_IND,IND,2302,IND00
435,2010_15_JAX_IND,JAX,2324,IND00
436,2010_15_KC_STL,LA,2809,STL00
437,2010_15_KC_STL,KC,1964,STL00
438,2010_15_NO_BAL,NO,2660,BAL00
439,2010_15_NO_BAL,BAL,1683,BAL00
440,2010_15_NYJ_PIT,NYJ,1806,PIT00
441,2010_15_NYJ_PIT,PIT,2206,PIT00
442,2010_15_PHI_NYG,NYG,2285,NYC01
443,2010_15_PHI_NYG,PHI,2228,NYC01
444,2010_15_SF_SD,LAC,1364,SDG00
445,2010_15_SF_SD,SF,2134,SDG00
446,2010_15_WAS_DAL,DAL,2123,DAL00
447,2010_15_WAS_DAL,WAS,2661,DAL00
448,2010_16_BAL_CLE,CLE,1729,CLE00
449,2010_16_BAL_CLE,BAL,1167,CLE00
450,2010_16_CAR_PIT,CAR,1759,PIT00
451,2010_16_CAR_PIT,PIT,1682,PIT00
452,2010_16_DAL_ARI,ARI,1808,PHO00
453,2010_16_DAL_ARI,DAL,2375,PHO00
454,2010_16_DET_MIA,DET,1739,MIA00
455,2010_16_DET_MIA,MIA,2386,MIA00
456,2010_16_HOU_DEN,HOU,1974,DEN00
457,2010_16_HOU_DEN,DEN,1668,DEN00
458,2010_16_IND_OAK,LV,2598,OAK00
459,2010_16_IND_OAK,IND,1928,OAK00
460,2010_16_MIN_PHI,PHI,2780,PHI00
461,2010_16_MIN_PHI,MIN,1598,PHI00
462,2010_16_NE_BUF,BUF,2108,BUF00
463,2010_16_NE_BUF,NE,1493,BUF00
464,2010_16_NO_ATL,NO,2620,ATL00
465,2010_16_NO_ATL,ATL,1713,ATL00
466,2010_16_NYG_GB,GB,2109,GNB00
467,2010_16_NYG_GB,NYG,2115,GNB00
468,2010_16_NYJ_CHI,CHI,1774,CHI98
469,2010_16_NYJ_CHI,NYJ,2051,CHI98
470,2010_16_SD_CIN,LAC,2102,CIN00
471,2010_16_SD_CIN,CIN,1220,CIN00
472,2010_16_SEA_TB,TB,1696,TAM00
473,2010_16_SEA_TB,SEA,1787,TAM00
474,2010_16_SF_STL,LA,2387,STL00
475,2010_16_SF_STL,SF,2296,STL00
476,2010_16_TEN_KC,KC,2030,KAN00
477,2010_16_TEN_KC,TEN,2512,KAN00
478,2010_16_WAS_JAX,WAS,2201,JAX00
479,2010_16_WAS_JAX,JAX,2473,JAX00
480,2010_17_ARI_SF,ARI,2982,SFO00
481,2010_17_ARI_SF,SF,1629,SFO00
482,2010_17_BUF_NYJ,BUF,1936,NYC01
483,2010_17_BUF_NYJ,NYJ,1021,NYC01
484,2010_17_CAR_ATL,ATL,1931,ATL00
485,2010_17_CAR_ATL,CAR,2232,ATL00
486,2010_17_CHI_GB,GB,1725,GNB00
487,2010_17_CHI_GB,CHI,2581,GNB00
488,2010_17_CIN_BAL,CIN,2321,BAL00
489,2010_17_CIN_BAL,BAL,1587,BAL00
490,2010_17_DAL_PHI,DAL,1759,PHI00
491,2010_17_DAL_PHI,PHI,2205,PHI00
492,2010_17_JAX_HOU,HOU,1361,HOU00
493,2010_17_JAX_HOU,JAX,1731,HOU00
494,2010_17_MIA_NE,MIA,2563,BOS00
495,2010_17_MIA_NE,NE,1156,BOS00
496,2010_17_MIN_DET,MIN,2037,DET00
497,2010_17_MIN_DET,DET,1990,DET00
498,2010_17_NYG_WAS,NYG,1795,WAS00
499,2010_17_NYG_WAS,WAS,2464,WAS00
500,2010_17_OAK_KC,KC,2290,KAN00
501,2010_17_OAK_KC,LV,1662,KAN00
502,2010_17_PIT_CLE,CLE,2601,CLE00
503,2010_17_PIT_CLE,PIT,1513,CLE00
504,2010_17_SD_DEN,LAC,2485,DEN00
505,2010_17_SD_DEN,DEN,2252,DEN00
506,2010_17_STL_SEA,SEA,1927,SEA00
507,2010_17_STL_SEA,LA,2426,SEA00
508,2010_17_TB_NO,TB,1621,NOR00
509,2010_17_TB_NO,NO,2375,NOR00
510,2010_17_TEN_IND,TEN,2106,IND00
511,2010_17_TEN_IND,IND,2139,IND00
512,2010_18_BAL_KC,BAL,1827,KAN00
513,2010_18_BAL_KC,KC,1416,KAN00
514,2010_18_GB_PHI,PHI,2189,PHI00
515,2010_18_GB_PHI,GB,1559,PHI00
516,2010_18_NO_SEA,NO,3250,SEA00
517,2010_18_NO_SEA,SEA,2011,SEA00
518,2010_18_NYJ_IND,IND,1481,IND00
519,2010_18_NYJ_IND,NYJ,1835,IND00
520,2010_19_BAL_PIT,BAL,2050,PIT00
521,2010_19_BAL_PIT,PIT,2075,PIT00
522,2010_19_GB_ATL,ATL,2086,ATL00
523,2010_19_GB_ATL,GB,1657,ATL00
524,2010_19_NYJ_NE,NYJ,1507,BOS00
525,2010_19_NYJ_NE,NE,2376,BOS00
526,2010_19_SEA_CHI,SEA,2731,CHI98
527,2010_19_SEA_CHI,CHI,1806,CHI98
528,2010_20_GB_CHI,GB,1801,CHI98
529,2010_20_GB_CHI,CHI,2123,CHI98
530,2010_20_NYJ_PIT,PIT,1071,PIT00
531,2010_20_NYJ_PIT,NYJ,1974,PIT00
532,2010_21_PIT_GB,PIT,2243,DAL00
533,2010_21_PIT_GB,GB,2258,DAL00
534,2011_01_ATL_CHI,CHI,2126,CHI98
535,2011_01_ATL_CHI,ATL,2510,CHI98
