,game,posteam,yards,stadium
5106,2019_11_BUF_MIA,BUF,1843,MIA00
5107,2019_11_BUF_MIA,MIA,2997,MIA00
5108,2019_11_CHI_LA,CHI,2582,LAX99
5109,2019_11_CHI_LA,LA,1118,LAX99
5110,2019_11_CIN_OAK,LV,1543,OAK00
5111,2019_11_CIN_OAK,CIN,1995,OAK00
5112,2019_11_DAL_DET,DAL,2289,DET00
5113,2019_11_DAL_DET,DET,1935,DET00
5114,2019_11_DEN_MIN,DEN,2249,MIN01
5115,2019_11_DEN_MIN,MIN,2201,MIN01
5116,2019_11_HOU_BAL,HOU,2100,BAL00
5117,2019_11_HOU_BAL,BAL,1393,BAL00
5118,2019_11_JAX_IND,JAX,2669,IND00
5119,2019_11_JAX_IND,IND,1505,IND00
5120,2019_11_KC_LAC,LAC,2763,MEX00
5121,2019_11_KC_LAC,KC,1779,MEX00
5122,2019_11_NE_PHI,PHI,2514,PHI00
5123,2019_11_NE_PHI,NE,2529,PHI00
5124,2019_11_NO_TB,NO,2019,TAM00
5125,2019_11_NO_TB,TB,2771,TAM00
5126,2019_11_NYJ_WAS,NYJ,1853,WAS00
5127,2019_11_NYJ_WAS,WAS,2602,WAS00
5128,2019_11_PIT_CLE,PIT,2552,CLE00
5129,2019_11_PIT_CLE,CLE,1805,CLE00
5130,2019_12_BAL_LA,LA,2398,LAX99
5131,2019_12_BAL_LA,BAL,1366,LAX99
5132,2019_12_CAR_NO,NO,2055,NOR00
5133,2019_12_CAR_NO,CAR,2130,NOR00
5134,2019_12_DAL_NE,DAL,1935,BOS00
5135,2019_12_DAL_NE,NE,2189,BOS00
5136,2019_12_DEN_BUF,DEN,1907,BUF00
5137,2019_12_DEN_BUF,BUF,1377,BUF00
5138,2019_12_DET_WAS,WAS,2029,WAS00
5139,2019_12_DET_WAS,DET,2186,WAS00
5140,2019_12_GB_SF,GB,2233,SFO01
5141,2019_12_GB_SF,SF,1314,SFO01
5142,2019_12_IND_HOU,IND,1540,HOU00
5143,2019_12_IND_HOU,HOU,1570,HOU00
5144,2019_12_JAX_TEN,JAX,3044,NAS00
5145,2019_12_JAX_TEN,TEN,1211,NAS00
5146,2019_12_MIA_CLE,CLE,1815,CLE00
5147,2019_12_MIA_CLE,MIA,2169,CLE00
5148,2019_12_NYG_CHI,NYG,2257,CHI98
5149,2019_12_NYG_CHI,CHI,2133,CHI98
5150,2019_12_OAK_NYJ,LV,2147,NYC01
5151,2019_12_OAK_NYJ,NYJ,1726,NYC01
5152,2019_12_PIT_CIN,CIN,1967,CIN00
5153,2019_12_PIT_CIN,PIT,1853,CIN00
5154,2019_12_SEA_PHI,PHI,2330,PHI00
5155,2019_12_SEA_PHI,SEA,1875,PHI00
5156,2019_12_TB_ATL,ATL,3179,ATL97
5157,2019_12_TB_ATL,TB,1606,ATL97
5158,2019_13_BUF_DAL,DAL,2662,DAL00
5159,2019_13_BUF_DAL,BUF,1533,DAL00
5160,2019_13_CHI_DET,CHI,2091,DET00
5161,2019_13_CHI_DET,DET,2241,DET00
5162,2019_13_CLE_PIT,CLE,2123,PIT00
5163,2019_13_CLE_PIT,PIT,1395,PIT00
5164,2019_13_GB_NYG,NYG,1861,NYC01
5165,2019_13_GB_NYG,GB,1846,NYC01
5166,2019_13_LA_ARI,LA,2232,PHO00
5167,2019_13_LA_ARI,ARI,2102,PHO00
5168,2019_13_LAC_DEN,DEN,1703,DEN00
5169,2019_13_LAC_DEN,LAC,1913,DEN00
5170,2019_13_MIN_SEA,SEA,1911,SEA00
5171,2019_13_MIN_SEA,MIN,2087,SEA00
5172,2019_13_NE_HOU,HOU,1728,HOU00
5173,2019_13_NE_HOU,NE,2503,HOU00
5174,2019_13_NO_ATL,ATL,2901,ATL97
5175,2019_13_NO_ATL,NO,1908,ATL97
5176,2019_13_NYJ_CIN,NYJ,2657,CIN00
5177,2019_13_NYJ_CIN,CIN,2004,CIN00
5178,2019_13_OAK_KC,LV,1759,KAN00
5179,2019_13_OAK_KC,KC,1380,KAN00
5180,2019_13_PHI_MIA,MIA,2338,MIA00
5181,2019_13_PHI_MIA,PHI,2594,MIA00
5182,2019_13_SF_BAL,SF,1348,BAL00
5183,2019_13_SF_BAL,BAL,1438,BAL00
5184,2019_13_TB_JAX,TB,1872,JAX00
5185,2019_13_TB_JAX,JAX,2531,JAX00
5186,2019_13_TEN_IND,TEN,1625,IND00
5187,2019_13_TEN_IND,IND,2282,IND00
5188,2019_13_WAS_CAR,CAR,2833,CAR00
5189,2019_13_WAS_CAR,WAS,1852,CAR00
5190,2019_14_BAL_BUF,BUF,2621,BUF00
5191,2019_14_BAL_BUF,BAL,1535,BUF00
5192,2019_14_CAR_ATL,ATL,2114,ATL97
5193,2019_14_CAR_ATL,CAR,2474,ATL97
5194,2019_14_CIN_CLE,CIN,2088,CLE00
5195,2019_14_CIN_CLE,CLE,1535,CLE00
5196,2019_14_DAL_CHI,DAL,2576,CHI98
5197,2019_14_DAL_CHI,CHI,1678,CHI98
5198,2019_14_DEN_HOU,HOU,2600,HOU00
5199,2019_14_DEN_HOU,DEN,1499,HOU00
5200,2019_14_DET_MIN,DET,2214,MIN01
5201,2019_14_DET_MIN,MIN,1778,MIN01
5202,2019_14_IND_TB,TB,2598,TAM00
5203,2019_14_IND_TB,IND,2245,TAM00
5204,2019_14_KC_NE,NE,2280,BOS00
5205,2019_14_KC_NE,KC,2113,BOS00
5206,2019_14_LAC_JAX,JAX,2188,JAX00
5207,2019_14_LAC_JAX,LAC,1485,JAX00
5208,2019_14_MIA_NYJ,NYJ,2196,NYC01
5209,2019_14_MIA_NYJ,MIA,2264,NYC01
5210,2019_14_NYG_PHI,PHI,2969,PHI00
5211,2019_14_NYG_PHI,NYG,2036,PHI00
5212,2019_14_PIT_ARI,ARI,1917,PHO00
5213,2019_14_PIT_ARI,PIT,1395,PHO00
5214,2019_14_SEA_LA,SEA,2206,LAX99
5215,2019_14_SEA_LA,LA,1680,LAX99
5216,2019_14_SF_NO,NO,2251,NOR00
5217,2019_14_SF_NO,SF,2171,NOR00
5218,2019_14_TEN_OAK,TEN,1564,OAK00
5219,2019_14_TEN_OAK,LV,2072,OAK00
5220,2019_14_WAS_GB,WAS,1842,GNB00
5221,2019_14_WAS_GB,GB,1746,GNB00
5222,2019_15_ATL_SF,ATL,2176,SFO01
5223,2019_15_ATL_SF,SF,1978,SFO01
5224,2019_15_BUF_PIT,BUF,1472,PIT00
5225,2019_15_BUF_PIT,PIT,2218,PIT00
5226,2019_15_CHI_GB,CHI,2641,GNB00
5227,2019_15_CHI_GB,GB,1840,GNB00
5228,2019_15_CLE_ARI,ARI,1504,PHO00
5229,2019_15_CLE_ARI,CLE,2257,PHO00
5230,2019_15_DEN_KC,DEN,2071,KAN00
5231,2019_15_DEN_KC,KC,2057,KAN00
5232,2019_15_HOU_TEN,HOU,1547,NAS00
5233,2019_15_HOU_TEN,TEN,2016,NAS00
5234,2019_15_IND_NO,IND,1891,NOR00
5235,2019_15_IND_NO,NO,1438,NOR00
5236,2019_15_JAX_OAK,LV,2165,OAK00
5237,2019_15_JAX_OAK,JAX,1855,OAK00
5238,2019_15_LA_DAL,LA,2846,DAL00
5239,2019_15_LA_DAL,DAL,1301,DAL00
5240,2019_15_MIA_NYG,MIA,2258,NYC01
5241,2019_15_MIA_NYG,NYG,1825,NYC01
5242,2019_15_MIN_LAC,MIN,1529,LAX97
5243,2019_15_MIN_LAC,LAC,2148,LAX97
5244,2019_15_NE_CIN,NE,1668,CIN00
5245,2019_15_NE_CIN,CIN,1912,CIN00
5246,2019_15_NYJ_BAL,NYJ,2181,BAL00
5247,2019_15_NYJ_BAL,BAL,1467,BAL00
5248,2019_15_PHI_WAS,WAS,1775,WAS00
5249,2019_15_PHI_WAS,PHI,2180,WAS00
5250,2019_15_SEA_CAR,SEA,1617,CAR00
5251,2019_15_SEA_CAR,CAR,2311,CAR00
5252,2019_15_TB_DET,TB,2218,DET00
5253,2019_15_TB_DET,DET,2433,DET00
5254,2019_16_ARI_SEA,ARI,1762,SEA00
5255,2019_16_ARI_SEA,SEA,2200,SEA00
5256,2019_16_BAL_CLE,CLE,2005,CLE00
5257,2019_16_BAL_CLE,BAL,1612,CLE00
5258,2019_16_BUF_NE,NE,1731,BOS00
5259,2019_16_BUF_NE,BUF,1740,BOS00
5260,2019_16_CAR_IND,CAR,2628,IND00
5261,2019_16_CAR_IND,IND,1555,IND00
5262,2019_16_CIN_MIA,MIA,2812,MIA00
5263,2019_16_CIN_MIA,CIN,3309,MIA00
5264,2019_16_DAL_PHI,PHI,2152,PHI00
5265,2019_16_DAL_PHI,DAL,2495,PHI00
5266,2019_16_DET_DEN,DET,1743,DEN00
5267,2019_16_DET_DEN,DEN,1753,DEN00
5268,2019_16_GB_MIN,GB,2077,MIN01
5269,2019_16_GB_MIN,MIN,2151,MIN01
5270,2019_16_HOU_TB,TB,2744,TAM00
5271,2019_16_HOU_TB,HOU,1992,TAM00
5272,2019_16_JAX_ATL,ATL,2241,ATL97
5273,2019_16_JAX_ATL,JAX,2072,ATL97
5274,2019_16_KC_CHI,CHI,2004,CHI98
5275,2019_16_KC_CHI,KC,1668,CHI98
5276,2019_16_LA_SF,LA,2532,SFO01
5277,2019_16_LA_SF,SF,1886,SFO01
5278,2019_16_NO_TEN,TEN,1954,NAS00
5279,2019_16_NO_TEN,NO,2327,NAS00
5280,2019_16_NYG_WAS,NYG,2358,WAS00
5281,2019_16_NYG_WAS,WAS,2236,WAS00
5282,2019_16_OAK_LAC,LAC,2217,LAX97
5283,2019_16_OAK_LAC,LV,1850,LAX97
5284,2019_16_PIT_NYJ,NYJ,1859,NYC01
5285,2019_16_PIT_NYJ,PIT,2140,NYC01
5286,2019_17_ARI_LA,LA,2284,LAX99
5287,2019_17_ARI_LA,ARI,2264,LAX99
5288,2019_17_ATL_TB,ATL,2671,TAM00
5289,2019_17_ATL_TB,TB,1727,TAM00
5290,2019_17_CHI_MIN,MIN,1322,MIN01
5291,2019_17_CHI_MIN,CHI,2180,MIN01
5292,2019_17_CLE_CIN,CLE,1993,CIN00
5293,2019_17_CLE_CIN,CIN,1662,CIN00
5294,2019_17_GB_DET,DET,2021,DET00
5295,2019_17_GB_DET,GB,2882,DET00
5296,2019_17_IND_JAX,IND,1564,JAX00
5297,2019_17_IND_JAX,JAX,2202,JAX00
5298,2019_17_LAC_KC,LAC,2676,KAN00
5299,2019_17_LAC_KC,KC,1403,KAN00
5300,2019_17_MIA_NE,MIA,2320,BOS00
5301,2019_17_MIA_NE,NE,1705,BOS00
5302,2019_17_NO_CAR,NO,1682,CAR00
5303,2019_17_NO_CAR,CAR,2626,CAR00
5304,2019_17_NYJ_BUF,NYJ,2110,BUF00
5305,2019_17_NYJ_BUF,BUF,2135,BUF00
5306,2019_17_OAK_DEN,DEN,1946,DEN00
5307,2019_17_OAK_DEN,LV,2452,DEN00
5308,2019_17_PHI_NYG,PHI,2169,NYC01
5309,2019_17_PHI_NYG,NYG,2776,NYC01
5310,2019_17_PIT_BAL,BAL,1402,BAL00
5311,2019_17_PIT_BAL,PIT,1703,BAL00
5312,2019_17_SF_SEA,SEA,1967,SEA00
5313,2019_17_SF_SEA,SF,1346,SEA00
5314,2019_17_TEN_HOU,HOU,2230,HOU00
5315,2019_17_TEN_HOU,TEN,1297,HOU00
5316,2019_17_WAS_DAL,DAL,2111,DAL00
5317,2019_17_WAS_DAL,WAS,2280,DAL00
5318,2019_18_BUF_HOU,BUF,2370,HOU00
5319,2019_18_BUF_HOU,HOU,1907,HOU00
5320,2019_18_MIN_NO,MIN,1951,NOR00
5321,2019_18_MIN_NO,NO,1927,NOR00
5322,2019_18_SEA_PHI,SEA,1618,PHI00
5323,2019_18_SEA_PHI,PHI,1714,PHI00
5324,2019_18_TEN_NE,NE,1865,BOS00
5325,2019_18_TEN_NE,TEN,1219,BOS00
5326,2019_19_HOU_KC,HOU,2820,KAN00
5327,2019_19_HOU_KC,KC,1957,KAN00
5328,2019_19_MIN_SF,MIN,2125,SFO01
5329,2019_19_MIN_SF,SF,1113,SFO01
5330,2019_19_SEA_GB,GB,1618,GNB00
5331,2019_19_SEA_GB,SEA,1876,GNB00
5332,2019_19_TEN_BAL,TEN,955,BAL00
5333,2019_19_TEN_BAL,BAL,3228,BAL00
5334,2019_20_GB_SF,SF,622,SFO01
5335,2019_20_GB_SF,GB,2330,SFO01
5336,2019_20_TEN_KC,TEN,1940,KAN00
5337,2019_20_TEN_KC,KC,1847,KAN00
5338,2019_21_SF_KC,KC,2128,MIA00
5339,2019_21_SF_KC,SF,1763,MIA00
5340,2020_01_ARI_SF,SF,1916,SFO01
5341,2020_01_ARI_SF,ARI,2165,SFO01
5342,2020_01_CHI_DET,CHI,2182,DET00
5343,2020_01_CHI_DET,DET,2274,DET00
5344,2020_01_CLE_BAL,CLE,2180,BAL00
5345,2020_01_CLE_BAL,BAL,1428,BAL00
5346,2020_01_DAL_LA,LA,1794,LAX01
5347,2020_01_DAL_LA,DAL,2182,LAX01
5348,2020_01_GB_MIN,GB,2187,MIN01
5349,2020_01_GB_MIN,MIN,1656,MIN01
5350,2020_01_HOU_KC,HOU,1871,KAN00
5351,2020_01_HOU_KC,KC,1673,KAN00
5352,2020_01_IND_JAX,IND,2089,JAX00
5353,2020_01_IND_JAX,JAX,1453,JAX00
5354,2020_01_LAC_CIN,CIN,2079,CIN00
5355,2020_01_LAC_CIN,LAC,1964,CIN00
5356,2020_01_LV_CAR,LV,1644,CAR00
5357,2020_01_LV_CAR,CAR,2082,CAR00
5358,2020_01_MIA_NE,MIA,1670,BOS00
5359,2020_01_MIA_NE,NE,1098,BOS00
5360,2020_01_NYJ_BUF,NYJ,1941,BUF00
5361,2020_01_NYJ_BUF,BUF,2415,BUF00
5362,2020_01_PHI_WAS,WAS,2073,WAS00
5363,2020_01_PHI_WAS,PHI,2783,WAS00
5364,2020_01_PIT_NYG,NYG,2357,NYC01
5365,2020_01_PIT_NYG,PIT,1852,NYC01
5366,2020_01_SEA_ATL,ATL,2841,ATL97
5367,2020_01_SEA_ATL,SEA,2141,ATL97
5368,2020_01_TB_NO,NO,1915,NOR00
5369,2020_01_TB_NO,TB,2108,NOR00
5370,2020_01_TEN_DEN,TEN,2265,DEN00
5371,2020_01_TEN_DEN,DEN,1825,DEN00
5372,2020_02_ATL_DAL,ATL,2223,DAL00
5373,2020_02_ATL_DAL,DAL,2496,DAL00
5374,2020_02_BAL_HOU,HOU,2032,HOU00
5375,2020_02_BAL_HOU,BAL,1630,HOU00
5376,2020_02_BUF_MIA,BUF,1874,MIA00
5377,2020_02_BUF_MIA,MIA,2505,MIA00
5378,2020_02_CAR_TB,TB,1792,TAM00
5379,2020_02_CAR_TB,CAR,2230,TAM00
5380,2020_02_CIN_CLE,CIN,2994,CLE00
5381,2020_02_CIN_CLE,CLE,1107,CLE00
5382,2020_02_DEN_PIT,DEN,2605,PIT00
5383,2020_02_DEN_PIT,PIT,2422,PIT00
5384,2020_02_DET_GB,DET,2314,GNB00
5385,2020_02_DET_GB,GB,1621,GNB00
5386,2020_02_JAX_TEN,TEN,1572,NAS00
5387,2020_02_JAX_TEN,JAX,2315,NAS00
5388,2020_02_KC_LAC,LAC,1764,LAX01
5389,2020_02_KC_LAC,KC,2698,LAX01
5390,2020_02_LA_PHI,PHI,2072,PHI00
5391,2020_02_LA_PHI,LA,1442,PHI00
5392,2020_02_MIN_IND,MIN,1711,IND00
5393,2020_02_MIN_IND,IND,1569,IND00
5394,2020_02_NE_SEA,SEA,1677,SEA00
5395,2020_02_NE_SEA,NE,2347,SEA00
5396,2020_02_NO_LV,NO,1932,VEG00
5397,2020_02_NO_LV,LV,2183,VEG00
5398,2020_02_NYG_CHI,CHI,1694,CHI98
5399,2020_02_NYG_CHI,NYG,1982,CHI98
5400,2020_02_SF_NYJ,SF,1508,NYC01
5401,2020_02_SF_NYJ,NYJ,1848,NYC01
5402,2020_02_WAS_ARI,WAS,2153,PHO00
5403,2020_02_WAS_ARI,ARI,2037,PHO00
5404,2020_03_CAR_LAC,CAR,1779,LAX01
5405,2020_03_CAR_LAC,LAC,2489,LAX01
5406,2020_03_CHI_ATL,CHI,2775,ATL97
5407,2020_03_CHI_ATL,ATL,2378,ATL97
5408,2020_03_CIN_PHI,CIN,2910,PHI00
5409,2020_03_CIN_PHI,PHI,2753,PHI00
5410,2020_03_DAL_SEA,SEA,2514,SEA00
5411,2020_03_DAL_SEA,DAL,2964,SEA00
5412,2020_03_DET_ARI,DET,2006,PHO00
5413,2020_03_DET_ARI,ARI,1900,PHO00
5414,2020_03_GB_NO,NO,2111,NOR00
5415,2020_03_GB_NO,GB,1864,NOR00
5416,2020_03_HOU_PIT,HOU,1802,PIT00
5417,2020_03_HOU_PIT,PIT,1998,PIT00
5418,2020_03_KC_BAL,BAL,1923,BAL00
5419,2020_03_KC_BAL,KC,2113,BAL00
5420,2020_03_LA_BUF,BUF,1988,BUF00
5421,2020_03_LA_BUF,LA,1688,BUF00
5422,2020_03_LV_NE,NE,1716,BOS00
5423,2020_03_LV_NE,LV,1987,BOS00
5424,2020_03_MIA_JAX,MIA,1269,JAX00
5425,2020_03_MIA_JAX,JAX,2335,JAX00
5426,2020_03_NYJ_IND,NYJ,1926,IND00
5427,2020_03_NYJ_IND,IND,1543,IND00
5428,2020_03_SF_NYG,SF,2008,NYC01
5429,2020_03_SF_NYG,NYG,2061,NYC01
5430,2020_03_TB_DEN,DEN,2444,DEN00
5431,2020_03_TB_DEN,TB,2075,DEN00
5432,2020_03_TEN_MIN,TEN,2295,MIN01
5433,2020_03_TEN_MIN,MIN,2041,MIN01
5434,2020_03_WAS_CLE,CLE,1518,CLE00
5435,2020_03_WAS_CLE,WAS,1972,CLE00
5436,2020_04_ARI_CAR,ARI,1682,CAR00
5437,2020_04_ARI_CAR,CAR,1763,CAR00
5438,2020_04_ATL_GB,ATL,2072,GNB00
5439,2020_04_ATL_GB,GB,1569,GNB00
5440,2020_04_BAL_WAS,WAS,2571,WAS00
5441,2020_04_BAL_WAS,BAL,1299,WAS00
5442,2020_04_BUF_LV,BUF,1862,VEG00
5443,2020_04_BUF_LV,LV,2202,VEG00
5444,2020_04_CLE_DAL,DAL,2963,DAL00
5445,2020_04_CLE_DAL,CLE,1860,DAL00
5446,2020_04_DEN_NYJ,NYJ,2543,NYC01
5447,2020_04_DEN_NYJ,DEN,1872,NYC01
5448,2020_04_IND_CHI,CHI,2361,CHI98
5449,2020_04_IND_CHI,IND,1779,CHI98
5450,2020_04_JAX_CIN,JAX,2357,CIN00
5451,2020_04_JAX_CIN,CIN,2082,CIN00
5452,2020_04_LAC_TB,TB,2480,TAM00
5453,2020_04_LAC_TB,LAC,1803,TAM00
5454,2020_04_MIN_HOU,HOU,2007,HOU00
5455,2020_04_MIN_HOU,MIN,1622,HOU00
5456,2020_04_NE_KC,KC,1705,KAN00
5457,2020_04_NE_KC,NE,2076,KAN00
5458,2020_04_NO_DET,DET,1954,DET00
5459,2020_04_NO_DET,NO,1366,DET00
5460,2020_04_NYG_LA,NYG,2141,LAX01
5461,2020_04_NYG_LA,LA,1761,LAX01
5462,2020_04_PHI_SF,PHI,1703,SFO01
5463,2020_04_PHI_SF,SF,2443,SFO01
5464,2020_04_SEA_MIA,MIA,2456,MIA00
5465,2020_04_SEA_MIA,SEA,1991,MIA00
5466,2020_05_ARI_NYJ,NYJ,2182,NYC01
5467,2020_05_ARI_NYJ,ARI,1848,NYC01
5468,2020_05_BUF_TEN,BUF,2502,NAS00
5469,2020_05_BUF_TEN,TEN,1457,NAS00
5470,2020_05_CAR_ATL,CAR,1963,ATL97
5471,2020_05_CAR_ATL,ATL,2307,ATL97
5472,2020_05_CIN_BAL,CIN,2155,BAL00
5473,2020_05_CIN_BAL,BAL,1908,BAL00
5474,2020_05_IND_CLE,CLE,2119,CLE00
5475,2020_05_IND_CLE,IND,2045,CLE00
5476,2020_05_JAX_HOU,JAX,2763,HOU00
5477,2020_05_JAX_HOU,HOU,1786,HOU00
5478,2020_05_LA_WAS,WAS,2312,WAS00
5479,2020_05_LA_WAS,LA,1610,WAS00
5480,2020_05_LAC_NO,LAC,2223,NOR00
5481,2020_05_LAC_NO,NO,2654,NOR00
5482,2020_05_LV_KC,KC,2695,KAN00
5483,2020_05_LV_KC,LV,1901,KAN00
5484,2020_05_MIA_SF,SF,2113,SFO01
5485,2020_05_MIA_SF,MIA,1719,SFO01
5486,2020_05_MIN_SEA,MIN,2258,SEA00
5487,2020_05_MIN_SEA,SEA,2051,SEA00
5488,2020_05_NYG_DAL,DAL,2169,DAL00
5489,2020_05_NYG_DAL,NYG,2216,DAL00
5490,2020_05_PHI_PIT,PHI,2313,PIT00
